"date","new_graves_best_ipol","new_graves_excess","new_graves_ocha"
2017-12-15,9,-1,NA
2017-12-16,9,-1,NA
2017-12-17,10,0,NA
2017-12-18,9,-1,NA
2017-12-19,10,0,NA
2017-12-20,11,1,NA
2017-12-21,9,-1,NA
2017-12-22,9,-1,NA
2017-12-23,11,1,NA
2017-12-24,8,-2,NA
2017-12-25,10,0,NA
2017-12-26,11,1,NA
2017-12-27,8,-2,NA
2017-12-28,11,1,NA
2017-12-29,9,-1,NA
2017-12-30,10,0,NA
2017-12-31,10,0,NA
2018-01-01,10,0,NA
2018-01-02,9,-1,NA
2018-01-03,11,1,NA
2018-01-04,9,-1,NA
2018-01-05,10,0,NA
2018-01-06,10,0,NA
2018-01-07,11,1,NA
2018-01-08,10,0,NA
2018-01-09,9,-1,NA
2018-01-10,9,-1,NA
2018-01-11,12,2,NA
2018-01-12,9,-1,NA
2018-01-13,10,0,NA
2018-01-14,10,0,NA
2018-01-15,9,-1,NA
2018-01-16,11,1,NA
2018-01-17,10,0,NA
2018-01-18,9,-1,NA
2018-01-19,11,1,NA
2018-01-20,10,0,NA
2018-01-21,9,-1,NA
2018-01-22,10,0,NA
2018-01-23,11,1,NA
2018-01-24,9,-1,NA
2018-01-25,11,1,NA
2018-01-26,9,-1,NA
2018-01-27,11,1,NA
2018-01-28,9,-1,NA
2018-01-29,11,1,NA
2018-01-30,10,0,NA
2018-01-31,9,-1,NA
2018-02-01,10,0,NA
2018-02-02,11,1,NA
2018-02-03,8,-2,NA
2018-02-04,12,2,NA
2018-02-05,10,0,NA
2018-02-06,8,-2,NA
2018-02-07,11,1,NA
2018-02-08,10,0,NA
2018-02-09,9,-1,NA
2018-02-10,11,1,NA
2018-02-11,10,0,NA
2018-02-12,10,0,NA
2018-02-13,10,0,NA
2018-02-14,9,-1,NA
2018-02-15,10,0,NA
2018-02-16,11,1,NA
2018-02-17,10,0,NA
2018-02-18,9,-1,NA
2018-02-19,9,-1,NA
2018-02-20,12,2,NA
2018-02-21,10,0,NA
2018-02-22,9,-1,NA
2018-02-23,10,0,NA
2018-02-24,12,2,NA
2018-02-25,8,-2,NA
2018-02-26,10,0,NA
2018-02-27,10,0,NA
2018-02-28,10,0,NA
2018-03-01,11,1,NA
2018-03-02,9,-1,NA
2018-03-03,9,-1,NA
2018-03-04,11,1,NA
2018-03-05,11,1,NA
2018-03-06,9,-1,NA
2018-03-07,9,-1,NA
2018-03-08,11,1,NA
2018-03-09,10,0,NA
2018-03-10,10,0,NA
2018-03-11,10,0,NA
2018-03-12,10,0,NA
2018-03-13,9,-1,NA
2018-03-14,11,1,NA
2018-03-15,8,-2,NA
2018-03-16,12,2,NA
2018-03-17,10,0,NA
2018-03-18,9,-1,NA
2018-03-19,10,0,NA
2018-03-20,11,1,NA
2018-03-21,9,-1,NA
2018-03-22,10,0,NA
2018-03-23,11,1,NA
2018-03-24,10,0,NA
2018-03-25,9,-1,NA
2018-03-26,9,-1,NA
2018-03-27,11,1,NA
2018-03-28,11,1,NA
2018-03-29,9,-1,NA
2018-03-30,10,0,NA
2018-03-31,10,0,NA
2018-04-01,10,0,NA
2018-04-02,10,0,NA
2018-04-03,9,-1,NA
2018-04-04,10,0,NA
2018-04-05,12,2,NA
2018-04-06,8,-2,NA
2018-04-07,10,0,NA
2018-04-08,11,1,NA
2018-04-09,10,0,NA
2018-04-10,10,0,NA
2018-04-11,9,-1,NA
2018-04-12,9,-1,NA
2018-04-13,11,1,NA
2018-04-14,11,1,NA
2018-04-15,9,-1,NA
2018-04-16,10,0,NA
2018-04-17,10,0,NA
2018-04-18,11,1,NA
2018-04-19,9,-1,NA
2018-04-20,10,0,NA
2018-04-21,11,1,NA
2018-04-22,9,-1,NA
2018-04-23,10,0,NA
2018-04-24,10,0,NA
2018-04-25,9,-1,NA
2018-04-26,11,1,NA
2018-04-27,11,1,NA
2018-04-28,8,-2,NA
2018-04-29,11,1,NA
2018-04-30,9,-1,NA
2018-05-01,12,2,NA
2018-05-02,9,-1,NA
2018-05-03,9,-1,NA
2018-05-04,11,1,NA
2018-05-05,10,0,NA
2018-05-06,9,-1,NA
2018-05-07,11,1,NA
2018-05-08,10,0,NA
2018-05-09,10,0,NA
2018-05-10,11,1,NA
2018-05-11,8,-2,NA
2018-05-12,11,1,NA
2018-05-13,11,1,NA
2018-05-14,10,0,NA
2018-05-15,9,-1,NA
2018-05-16,11,1,NA
2018-05-17,9,-1,NA
2018-05-18,10,0,NA
2018-05-19,11,1,NA
2018-05-20,10,0,NA
2018-05-21,10,0,NA
2018-05-22,9,-1,NA
2018-05-23,11,1,NA
2018-05-24,11,1,NA
2018-05-25,9,-1,NA
2018-05-26,10,0,NA
2018-05-27,10,0,NA
