cemetery,time_base,date,graves_best
Barakaat 2,285,2016-10-18,0
Barakaat 2,286,2016-10-19,0
Barakaat 2,287,2016-10-20,0
Barakaat 2,288,2016-10-21,0
Barakaat 2,289,2016-10-22,0
Barakaat 2,290,2016-10-23,0
Barakaat 2,291,2016-10-24,0
Barakaat 2,292,2016-10-25,0
Barakaat 2,293,2016-10-26,0
Barakaat 2,294,2016-10-27,0
Barakaat 2,295,2016-10-28,0
Barakaat 2,296,2016-10-29,0
Barakaat 2,297,2016-10-30,0
Barakaat 2,298,2016-10-31,0
Barakaat 2,299,2016-11-01,0
Barakaat 2,300,2016-11-02,0
Iskool Bolisii,300,2016-11-02,0
Moallim Nuur,300,2016-11-02,1666
Barakaat 2,301,2016-11-03,0
Barakaat 2,302,2016-11-04,0
Barakaat 2,303,2016-11-05,0
Barakaat 2,304,2016-11-06,0
Barakaat 2,305,2016-11-07,0
Barakaat 2,306,2016-11-08,0
Barakaat 2,307,2016-11-09,0
Barakaat 2,308,2016-11-10,0
Barakaat 2,309,2016-11-11,0
Barakaat 2,310,2016-11-12,0
Barakaat 2,311,2016-11-13,0
Barakaat 2,312,2016-11-14,0
Barakaat 2,313,2016-11-15,0
Barakaat 2,314,2016-11-16,0
Barakaat 2,315,2016-11-17,0
Barakaat 2,316,2016-11-18,0
Barakaat 2,317,2016-11-19,0
Barakaat 2,318,2016-11-20,0
Barakaat 2,319,2016-11-21,0
Barakaat 2,320,2016-11-22,0
Barakaat 2,321,2016-11-23,0
Barakaat 2,322,2016-11-24,0
Barakaat 2,323,2016-11-25,0
Barakaat 2,324,2016-11-26,0
Barakaat 2,325,2016-11-27,0
Barakaat 2,326,2016-11-28,0
Barakaat 2,327,2016-11-29,0
Barakaat 2,328,2016-11-30,0
Barakaat 2,329,2016-12-01,0
Barakaat 2,330,2016-12-02,0
Barakaat 2,331,2016-12-03,0
Barakaat 2,332,2016-12-04,0
Barakaat 2,333,2016-12-05,0
Barakaat 2,334,2016-12-06,0
Barakaat 2,335,2016-12-07,0
Barakaat 2,336,2016-12-08,0
Barakaat 2,337,2016-12-09,0
Barakaat 2,338,2016-12-10,0
Barakaat 2,339,2016-12-11,0
Barakaat 2,340,2016-12-12,0
Barakaat 2,341,2016-12-13,0
Barakaat 2,342,2016-12-14,0
Barakaat 2,343,2016-12-15,0
Barakaat 2,344,2016-12-16,0
Barakaat 2,345,2016-12-17,0
Barakaat 2,346,2016-12-18,0
Barakaat 2,347,2016-12-19,0
Barakaat 2,348,2016-12-20,0
Barakaat 2,349,2016-12-21,0
Barakaat 2,350,2016-12-22,0
Barakaat 2,351,2016-12-23,0
Barakaat 2,352,2016-12-24,0
Barakaat 2,353,2016-12-25,0
Barakaat 2,354,2016-12-26,0
